date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:16	367220/367220	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2004:17:17%20GMT	https://www.aprendekids.com/educacion2025	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/educacion2025.html	(from )
23:17:16	13/13	---M--	200	added ('OK')	text/plain	etag:%2267dafb7e-d%22	https://www.aprendekids.com/robots.txt		(from )
23:17:16	13227/13227	---M--	200	added ('OK')	image/png	etag:%2289f236adf41257d29086265e78a8a869%22	https://www.aprendekids.com/6010875/6588ca957e168_faviconkids.png	C:/Mis%20lugares%20Web/clonacion/www.aprendekids.com/6010875/6588ca957e168_faviconkids.png	(from https://www.aprendekids.com/educacion2025)
23:17:17	498160/498160	---MCZ	200	added ('OK')	text/css	etag:W/%22325672b036bab9b57f6873aed5eccc43%22	https://d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	C:/Mis%20lugares%20Web/clonacion/d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	(from https://www.aprendekids.com/educacion2025)
23:17:17	35660/35660	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267db1391-8b4c%22	https://www.statcounter.com/counter/counter.js	C:/Mis%20lugares%20Web/clonacion/www.statcounter.com/counter/counter.js	(from https://www.aprendekids.com/educacion2025)
23:17:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2020%20Mar%202025%2004:17:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mis%20lugares%20Web/clonacion/www.googletagmanager.com/gtm.45445.delayed	(from https://www.aprendekids.com/educacion2025)
23:17:18	248207/248207	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Mar%202025%2004:17:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Mis%20lugares%20Web/clonacion/connect.facebook.net/en_US/fbevents.js	(from https://www.aprendekids.com/educacion2025)
23:17:19	41653/41653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c13152fc523bb482ab6cfcdad1e5e4bf%22	https://static.elfsight.com/platform/platform.js	C:/Mis%20lugares%20Web/clonacion/static.elfsight.com/platform/platform.js	(from https://www.aprendekids.com/educacion2025)
23:17:19	1429/1429	---M--	200	added ('OK')	image/jpeg	etag:%22b4bb82bc4a88adb4bdc576330979fc28%22	https://images.converteai.net/87bbc7c3-60bb-42be-a966-b06562928158/players/67317eba79f0c9000af9ca58/thumbnail.jpg	C:/Mis%20lugares%20Web/clonacion/images.converteai.net/87bbc7c3-60bb-42be-a966-b06562928158/players/67317eba79f0c9000af9ca58/thumbnail.jpg	(from https://www.aprendekids.com/educacion2025)
23:17:20	11172/11172	---M-Z	200	added ('OK')	text/javascript	etag:%22eff8937e0f3dfe213b1751343f369b10%22	https://scripts.converteai.net/87bbc7c3-60bb-42be-a966-b06562928158/players/67317eba79f0c9000af9ca58/player.js	C:/Mis%20lugares%20Web/clonacion/scripts.converteai.net/87bbc7c3-60bb-42be-a966-b06562928158/players/67317eba79f0c9000af9ca58/player.js	(from https://www.aprendekids.com/educacion2025)
23:17:20	27980/27980	---M--	200	added ('OK')	image/png	etag:%22f071cdb057b03fd96b9cf43e513c6217%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66d936b297ab3_1.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66d936b297ab3_1.png	(from https://www.aprendekids.com/educacion2025)
23:17:20	25661/25661	---M--	200	added ('OK')	image/png	etag:%2217fdf6993dfce98ef4c58e8bf85d3336%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66d936bc235a3_2.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66d936bc235a3_2.png	(from https://www.aprendekids.com/educacion2025)
23:17:21	34615/34615	---M--	200	added ('OK')	image/png	etag:%2216c8b3180b87fe90ad09ce76d64397bd%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66d936d499f81_5.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66d936d499f81_5.png	(from https://www.aprendekids.com/educacion2025)
23:17:21	33099/33099	---M--	200	added ('OK')	image/png	etag:%22b57072e493ac43e012e465511dfd52f9%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66d936cca1267_4.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66d936cca1267_4.png	(from https://www.aprendekids.com/educacion2025)
23:17:21	34081/34081	---M--	200	added ('OK')	image/png	etag:%22de55f01686610ee06cbd67d4f3abc302%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66d936e1b3945_6.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66d936e1b3945_6.png	(from https://www.aprendekids.com/educacion2025)
23:17:21	4557/4557	---M--	200	added ('OK')	image/png	etag:%22bb5178c43c1063045831980fdcee1e21%22	https://d1yei2z3i6k35z.cloudfront.net/5895734/6574666b53ed6_scrnli_9_12_2023_08-06-43.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/5895734/6574666b53ed6_scrnli_9_12_2023_08-06-43.png	(from https://www.aprendekids.com/educacion2025)
23:17:22	42849/42849	---M--	200	added ('OK')	image/png	etag:%225814053180f38dbba9898e98ca60bb6f%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66975b7b2edcf_noalusocelular.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66975b7b2edcf_noalusocelular.png	(from https://www.aprendekids.com/educacion2025)
23:17:22	175243/175243	---M--	200	added ('OK')	image/gif	etag:%22daf5d87187f5f93b33dd59229db8f43f%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/658d313fbd6a0_6575ab192827d_MOTRICIDAD-GIF.gif	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/658d313fbd6a0_6575ab192827d_MOTRICIDAD-GIF.gif	(from https://www.aprendekids.com/educacion2025)
23:17:22	5412/5412	---M--	200	added ('OK')	image/png	etag:%2246af77cfde168ad0930dd01100790dbc%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/658e37dd73ea9_hOY-TE-LO-1.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/658e37dd73ea9_hOY-TE-LO-1.png	(from https://www.aprendekids.com/educacion2025)
23:17:23	185344/185344	---M--	200	added ('OK')	image/gif	etag:%22723131192a31d17b7a3328814f7e0a25%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/658d31506047d_6575ab3caed3c_ATENCION-Y-CONCENTRACION-GIF.gif	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/658d31506047d_6575ab3caed3c_ATENCION-Y-CONCENTRACION-GIF.gif	(from https://www.aprendekids.com/educacion2025)
23:17:23	187631/187631	---M--	200	added ('OK')	image/gif	etag:%22353aab380483d02a400c16f9e7f06e0b%22	https://d1yei2z3i6k35z.cloudfront.net/5895734/6575ab5ce9ce5_RAZONAMIENTO-GIF.gif	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/5895734/6575ab5ce9ce5_RAZONAMIENTO-GIF.gif	(from https://www.aprendekids.com/educacion2025)
23:17:24	134456/134456	---M--	200	added ('OK')	image/gif	etag:%223685420ae432e06c23406363d1c44098%22	https://d1yei2z3i6k35z.cloudfront.net/5895734/6575ab7e0e237_LECTOESCRITURA-GIF.gif	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/5895734/6575ab7e0e237_LECTOESCRITURA-GIF.gif	(from https://www.aprendekids.com/educacion2025)
23:17:24	4557/4557	---M--	200	added ('OK')	image/png	etag:%22bb5178c43c1063045831980fdcee1e21%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/667f05a44fe03_6574666b53ed6_scrnli_9_12_2023_08-06-43.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/667f05a44fe03_6574666b53ed6_scrnli_9_12_2023_08-06-43.png	(from https://www.aprendekids.com/educacion2025)
23:17:25	153/153	---M--	200	added ('OK')	image/png	etag:%222f66b2684229e853fd5398c5549af394%22	https://d1yei2z3i6k35z.cloudfront.net/6010875/66a481744e6fd_scrnli_27_7_2024_12-11-08a-m-.png	C:/Mis%20lugares%20Web/clonacion/d1yei2z3i6k35z.cloudfront.net/6010875/66a481744e6fd_scrnli_27_7_2024_12-11-08a-m-.png	(from https://www.aprendekids.com/educacion2025)
